verse	position	greek	strong	transliteration	gloss	inflected
13:13	7	Ὅτι	G3754	Hoti	Though	Though
13:13	8	βλέποντες	G991	blepontes	seeing	seeing
13:13	9	οὐ	G3756	ou	vvv	vvv
13:13	10	βλέπουσιν	G991	blepousin	they do not see	they do not see
13:13	11	Καὶ	G2532	Kai	[though]	[though]
13:13	12	ἀκούοντες	G191	akouontes	hearing	hearing
13:13	13	οὐκ	G3756	ouk	vvv	vvv
13:13	14	ἀκούουσιν	G191	akouousin	they do not hear	they do not hear
13:13	15	οὐδὲ	G3761	oude	[or]	[or]
13:13	16	συνίουσιν	G4920	syniousin	understand	understand
13:14	1	Καὶ	G2532	Kai	-	-
13:14	2	αὐτοῖς	G846	autois	In them	In them
13:14	3	ἡ	G3588	hē	the	the
13:14	4	προφητεία	G4394	prophēteia	prophecy	prophecy
13:14	5	Ἠσαΐου	G2268	Ēsaiou	of Isaiah	of Isaiah
13:14	6	ἀναπληροῦται	G378	anaplēroutai	is fulfilled	is fulfilled
13:14	7	ἡ	G3588	hē	-	-
13:14	8	λέγουσα	G3004	legousa	-	-
13:14	9	ἀκούσετε	G191	akousete	You will be ever hearing	You will be ever hearing
13:14	10	Ἀκοῇ	G189	Akoē	. . .	. . .
13:14	11	καὶ	G2532	kai	but	but
13:14	12	οὐ	G3756	ou	never	never
13:14	13	μὴ	G3361	mē	. . .	. . .
13:14	14	συνῆτε	G4920	synēte	understanding	understanding
13:14	15	Καὶ	G2532	Kai	-	-
13:14	16	βλέψετε	G991	blepsete	you will be ever seeing	you will be ever seeing
13:14	17	βλέποντες	G991	blepontes	. . .	. . .
13:14	18	καὶ	G2532	kai	but	but
13:14	19	οὐ	G3756	ou	never	never
13:14	20	μὴ	G3361	mē	. . .	. . .
13:14	21	ἴδητε	G3708	idēte	perceiving	perceiving
13:15	1	γὰρ	G1063	gar	For	For
13:15	2	ἡ	G3588	hē	-	-
13:15	3	τούτου	G3778	toutou	this	this
13:15	4	τοῦ	G3588	tou	-	-
13:15	5	λαοῦ	G2992	laou	people’s	people’s
13:15	6	καρδία	G2588	kardia	heart	heart
13:15	7	Ἐπαχύνθη	G3975	Epachynthē	has grown callous	has grown callous
13:15	8	Καὶ	G2532	Kai	-	-
13:15	9	ἤκουσαν	G191	ēkousan	they hardly hear	they hardly hear
13:15	10	βαρέως	G917	bareōs	. . .	. . .
13:15	11	τοῖς	G3588	tois	with [their]	with [their]
13:15	12	ὠσὶν	G3775	ōsin	ears	ears
13:15	13	Καὶ	G2532	Kai	and	and
13:15	14	ἐκάμμυσαν	G2576	ekammysan	they have closed	they have closed
13:15	15	αὐτῶν	G846	autōn	their	their
13:15	16	τοὺς	G3588	tous	-	-
13:15	17	ὀφθαλμοὺς	G3788	ophthalmous	eyes	eyes
13:15	18	Μή‿	G3361	Mē	Otherwise	Otherwise
13:15	19	ποτε	G4219	pote	. . .	. . .
13:15	20	ἴδωσιν	G3708	idōsin	they might see	they might see
13:15	21	τοῖς	G3588	tois	with [their]	with [their]
13:15	22	ὀφθαλμοῖς	G3788	ophthalmois	eyes	eyes
13:15	23	Καὶ	G2532	Kai	-	-
13:15	24	ἀκούσωσιν	G191	akousōsin	hear	hear
13:15	25	τοῖς	G3588	tois	with [their]	with [their]
13:15	26	ὠσὶν	G3775	ōsin	ears	ears
13:15	27	Καὶ	G2532	Kai	-	-
13:15	28	συνῶσιν	G4920	synōsin	understand	understand
13:15	29	τῇ	G3588	tē	with [their]	with [their]
13:15	30	καρδίᾳ	G2588	kardia	hearts	hearts
13:15	31	Καὶ	G2532	Kai	and	and
13:15	32	ἐπιστρέψωσιν	G1994	epistrepsōsin	turn	turn
13:15	33	Καὶ	G2532	Kai	and	and
13:15	34	ἰάσομαι	G2390	iasomai	I would heal	I would heal
13:15	35	αὐτούς	G846	autous	them	them
13:16	1	δὲ	G1161	de	But	But
13:16	2	μακάριοι	G3107	makarioi	blessed [are]	blessed [are]
13:16	3	Ὑμῶν	G4771	Hymōn	your	your
13:16	4	οἱ	G3588	hoi	-	-
13:16	5	ὀφθαλμοὶ	G3788	ophthalmoi	eyes	eyes
13:16	6	ὅτι	G3754	hoti	because	because
13:16	7	βλέπουσιν	G991	blepousin	they see	they see
13:16	8	καὶ	G2532	kai	and	and
13:16	9	τὰ	G3588	ta	-	-
13:16	10	ὑμῶν	G4771	hymōn	your	your
13:16	11	ὦτα	G3775	ōta	ears	ears
13:16	12	ὅτι	G3754	hoti	because	because
13:16	13	ἀκούουσιν	G191	akouousin	they hear	they hear
13:17	1	γὰρ	G1063	gar	For	For
13:17	2	ἀμὴν	G281	amēn	truly	truly
13:17	3	λέγω	G3004	legō	I tell	I tell
13:17	4	ὑμῖν	G4771	hymin	you	you
13:17	5	ὅτι	G3754	hoti	-	-
13:17	6	πολλοὶ	G4183	polloi	many	many
13:17	7	προφῆται	G4396	prophētai	prophets	prophets
13:17	8	καὶ	G2532	kai	and	and
13:17	9	δίκαιοι	G1342	dikaioi	righteous [men]	righteous [men]
13:17	10	ἐπεθύμησαν	G1937	epethymēsan	longed	longed
13:17	11	ἰδεῖν	G3708	idein	to see	to see
13:17	12	ἃ	G3739	ha	what	what
13:17	13	βλέπετε	G991	blepete	you see	you see
13:17	14	καὶ	G2532	kai	[but]	[but]
13:17	15	οὐκ	G3756	ouk	vvv	vvv
13:17	16	εἶδαν	G3708	eidan	did not see [it]	did not see [it]
13:17	17	καὶ	G2532	kai	and	and
13:17	18	ἀκοῦσαι	G191	akousai	to hear	to hear
13:17	19	ἃ	G3739	ha	what	what
13:17	20	ἀκούετε	G191	akouete	you hear	you hear
13:17	21	καὶ	G2532	kai	[but]	[but]
13:17	22	οὐκ	G3756	ouk	vvv	vvv
13:17	23	ἤκουσαν	G191	ēkousan	did not hear [it]	did not hear [it]
13:18	1	Ὑμεῖς	G4771	Hymeis	vvv	vvv
13:18	2	ἀκούσατε	G191	akousate	Consider	Consider
13:18	3	οὖν	G3767	oun	then	then
13:18	4	τὴν	G3588	tēn	the	the
13:18	5	παραβολὴν	G3850	parabolēn	parable	parable
13:18	6	τοῦ	G3588	tou	of the	of the
13:18	7	σπείραντος	G4687	speirantos	sower	sower
13:19	1	Παντὸς	G3956	Pantos	When anyone	When anyone
13:19	2	ἀκούοντος	G191	akouontos	hears	hears
13:19	3	τὸν	G3588	ton	the	the
13:19	4	λόγον	G3056	logon	message	message
13:19	5	τῆς	G3588	tēs	of the	of the
13:19	6	βασιλείας	G932	basileias	kingdom	kingdom
13:19	7	καὶ	G2532	kai	but	but
13:19	8	μὴ	G3361	mē	{does} not	{does} not
13:19	9	συνιέντος	G4920	synientos	understand [it]	understand [it]
13:19	10	ὁ	G3588	ho	the	the
13:19	11	πονηρὸς	G4190	ponēros	evil one	evil one
13:19	12	ἔρχεται	G2064	erchetai	comes	comes
13:19	13	καὶ	G2532	kai	and	and
13:19	14	ἁρπάζει	G726	harpazei	snatches away	snatches away
13:19	15	τὸ	G3588	to	what	what
13:19	16	ἐσπαρμένον	G4687	esparmenon	was sown	was sown
13:19	17	ἐν	G1722	en	in	in
13:19	18	τῇ	G3588	tē	-	-
13:19	19	αὐτοῦ	G846	autou	his	his
13:19	20	καρδίᾳ	G2588	kardia	heart	heart
13:19	21	οὗτός	G3778	houtos	This	This
13:19	22	ἐστιν	G1510	estin	is	is
13:19	23	ὁ	G3588	ho	the [seed]	the [seed]
13:19	24	σπαρείς	G4687	spareis	sown	sown
13:19	25	παρὰ	G3844	para	along	along
13:19	26	τὴν	G3588	tēn	the	the
13:19	27	ὁδὸν	G3598	hodon	path	path
13:20	1	δὲ	G1161	de	-	-
13:20	2	Ὁ	G3588	Ho	The [seed]	The [seed]
13:20	3	σπαρείς	G4687	spareis	sown	sown
13:20	4	ἐπὶ	G1909	epi	on	on
13:20	5	τὰ	G3588	ta	-	-
13:20	6	πετρώδη	G4075	petrōdē	rocky ground	rocky ground
13:20	7	οὗτός	G3778	houtos	-	-
13:20	8	ἐστιν	G1510	estin	is	is
13:20	9	ὁ	G3588	ho	the [one who]	the [one who]
13:20	10	ἀκούων	G191	akouōn	hears	hears
13:20	11	τὸν	G3588	ton	the	the
13:20	12	λόγον	G3056	logon	word	word
13:20	13	καὶ	G2532	kai	and	and
13:20	14	εὐθὺς	G2112	euthys	at once	at once
13:20	15	λαμβάνων	G2983	lambanōn	receives	receives
13:20	16	αὐτόν	G846	auton	it	it
13:20	17	μετὰ	G3326	meta	with	with
13:20	18	χαρᾶς	G5479	charas	joy	joy
13:21	1	ἀλλὰ	G235	alla	But	But
13:21	2	δὲ	G1161	de	since	since
13:21	3	ἔχει	G2192	echei	he has	he has
13:21	4	ἐν	G1722	en	. . .	. . .
13:21	5	ἑαυτῷ	G1438	heautō	. . .	. . .
13:21	6	οὐκ	G3756	ouk	no	no
13:21	7	ῥίζαν	G4491	rhizan	root	root
13:21	8	ἐστιν	G1510	estin	he remains	he remains
13:21	9	πρόσκαιρός	G4340	proskairos	for only a season	for only a season
13:21	10	δὲ	G1161	de	[When]	[When]
13:21	11	θλίψεως	G2347	thlipseōs	trouble	trouble
13:21	12	ἢ	G2228	ē	or	or
13:21	13	διωγμοῦ	G1375	diōgmou	persecution	persecution
13:21	14	γενομένης	G1096	genomenēs	comes	comes
13:21	15	διὰ	G1223	dia	because of	because of
13:21	16	τὸν	G3588	ton	the	the
13:21	17	λόγον	G3056	logon	word	word
13:21	18	εὐθὺς	G2112	euthys	vvv	vvv
13:21	19	σκανδαλίζεται	G4624	skandalizetai	he quickly falls away	he quickly falls away
13:22	1	δὲ	G1161	de	-	-
13:22	2	Ὁ	G3588	Ho	The [seed]	The [seed]
13:22	3	σπαρείς	G4687	spareis	sown	sown
13:22	4	εἰς	G1519	eis	among	among
13:22	5	τὰς	G3588	tas	the	the
13:22	6	ἀκάνθας	G173	akanthas	thorns	thorns
13:22	7	οὗτός	G3778	houtos	-	-
13:22	8	ἐστιν	G1510	estin	is	is
13:22	9	ὁ	G3588	ho	the [one who]	the [one who]
13:22	10	ἀκούων	G191	akouōn	hears	hears
13:22	11	τὸν	G3588	ton	the	the
13:22	12	λόγον	G3056	logon	word	word
13:22	13	καὶ	G2532	kai	but	but
13:22	14	ἡ	G3588	hē	the	the
13:22	15	μέριμνα	G3308	merimna	worries	worries
13:22	16	τοῦ	G3588	tou	of	of
13:22	17	τούτου	G3778	toutou	this	this
13:22	18	αἰῶνος	G165	aiōnos	life	life
13:22	19	καὶ	G2532	kai	and	and
13:22	20	ἡ	G3588	hē	the	the
13:22	21	ἀπάτη	G539	apatē	deceitfulness	deceitfulness
13:22	22	τοῦ	G3588	tou	-	-
13:22	23	πλούτου	G4149	ploutou	of wealth	of wealth
13:22	24	συμπνίγει	G4846	sympnigei	choke	choke
13:22	25	τὸν	G3588	ton	the	the
13:22	26	λόγον	G3056	logon	word	word
13:22	27	καὶ	G2532	kai	and	and
13:22	28	γίνεται	G1096	ginetai	it becomes	it becomes
13:22	29	ἄκαρπος	G175	akarpos	unfruitful	unfruitful
13:23	1	δὲ	G1161	de	But	But
13:23	2	Ὁ	G3588	Ho	the [seed]	the [seed]
13:23	3	σπαρείς	G4687	spareis	sown	sown
13:23	4	ἐπὶ	G1909	epi	on	on
13:23	5	τὴν	G3588	tēn	-	-
13:23	6	καλὴν	G2570	kalēn	good	good
13:23	7	γῆν	G1093	gēn	soil	soil
13:23	8	οὗτός	G3778	houtos	-	-
13:23	9	ἐστιν	G1510	estin	is	is
13:23	10	ὁ	G3588	ho	the [one who]	the [one who]
13:23	11	ἀκούων	G191	akouōn	hears	hears
13:23	12	τὸν	G3588	ton	the	the
13:23	13	λόγον	G3056	logon	word	word
13:23	14	καὶ	G2532	kai	[and]	[and]
13:23	15	συνιείς	G4920	synieis	understands [it]	understands [it]
13:23	16	ὃς	G3739	hos	[He]	[He]
13:23	17	δὴ	G1211	dē	indeed	indeed
13:23	18	καρποφορεῖ	G2592	karpophorei	bears fruit	bears fruit
13:23	19	καὶ	G2532	kai	and	and
13:23	20	ποιεῖ	G4160	poiei	produces a crop	produces a crop
13:23	21	μὲν	G3303	men	-	-
13:23	22	ὃ	G3739	ho	-	-
13:23	23	ἑκατὸν	G1540	hekaton	a hundredfold	a hundredfold
13:23	24	δὲ	G1161	de	-	-
13:23	25	ὃ	G3739	ho	-	-
13:23	26	ἑξήκοντα	G1835	hexēkonta	sixtyfold	sixtyfold
13:23	27	δὲ	G1161	de	or	or
13:23	28	ὃ	G3739	ho	-	-
13:23	29	τριάκοντα	G5144	triakonta	thirtyfold	thirtyfold
13:24	1	παρέθηκεν	G3908	parethēken	[Jesus] put before	[Jesus] put before
13:24	2	αὐτοῖς	G846	autois	them	them
13:24	3	Ἄλλην	G243	Allēn	another	another
13:24	4	παραβολὴν	G3850	parabolēn	parable	parable
13:24	5	λέγων	G3004	legōn	-	-
13:24	6	ἡ	G3588	hē	The	The
13:24	7	βασιλεία	G932	basileia	kingdom	kingdom
13:24	8	τῶν	G3588	tōn	of	of
13:24	9	οὐρανῶν	G3772	ouranōn	heaven	heaven
13:24	10	Ὡμοιώθη	G3666	Hōmoiōthē	is like	is like
13:24	11	ἀνθρώπῳ	G444	anthrōpō	a man	a man
13:24	12	σπείραντι	G4687	speiranti	who sowed	who sowed
13:24	13	καλὸν	G2570	kalon	good	good
13:24	14	σπέρμα	G4690	sperma	seed	seed
13:24	15	ἐν	G1722	en	in	in
13:24	16	αὐτοῦ	G846	autou	his	his
13:24	17	τῷ	G3588	tō	-	-
13:24	18	ἀγρῷ	G68	agrō	field	field
13:25	1	δὲ	G1161	de	But	But
13:25	2	ἐν	G1722	en	while	while
13:25	3	τῷ	G3588	tō	. . .	. . .
13:25	4	τοὺς	G3588	tous	vvv	vvv
13:25	5	ἀνθρώπους	G444	anthrōpous	everyone	everyone
13:25	6	καθεύδειν	G2518	katheudein	was asleep	was asleep
13:25	7	αὐτοῦ	G846	autou	his	his
13:25	8	ὁ	G3588	ho	-	-
13:25	9	ἐχθρὸς	G2190	echthros	enemy	enemy
13:25	10	ἦλθεν	G2064	ēlthen	came	came
13:25	11	καὶ	G2532	kai	and	and
13:25	12	ἐπέσπειρεν	G4687	epespeiren	sowed	sowed
13:25	13	ζιζάνια	G2215	zizania	weeds	weeds
13:25	14	ἀνὰ	G303	ana	among	among
13:25	15	μέσον	G3319	meson	. . .	. . .
13:25	16	τοῦ	G3588	tou	the	the
13:25	17	σίτου	G4621	sitou	wheat	wheat
13:25	18	καὶ	G2532	kai	and	and
13:25	19	ἀπῆλθεν	G565	apēlthen	slipped away	slipped away
13:26	1	δὲ	G1161	de	-	-
13:26	2	ὅτε	G3753	hote	When	When
13:26	3	ὁ	G3588	ho	the	the
13:26	4	χόρτος	G5528	chortos	wheat	wheat
13:26	5	ἐβλάστησεν	G985	eblastēsen	sprouted	sprouted
13:26	6	καὶ	G2532	kai	and	and
13:26	7	ἐποίησεν	G4160	epoiēsen	bore	bore
13:26	8	καρπὸν	G2590	karpon	grain	grain
13:26	9	τότε	G5119	tote	then	then
13:26	10	τὰ	G3588	ta	the	the
13:26	11	ζιζάνια	G2215	zizania	weeds	weeds
13:26	12	καὶ	G2532	kai	also	also
13:26	13	ἐφάνη	G5316	ephanē	appeared	appeared
13:27	1	δὲ	G1161	de	-	-
13:27	2	οἱ	G3588	hoi	The	The
13:27	3	τοῦ	G3588	tou	vvv	vvv
13:27	4	οἰκοδεσπότου	G3617	oikodespotou	owner’s	owner’s
13:27	5	δοῦλοι	G1401	douloi	servants	servants
13:27	6	Προσελθόντες	G4334	Proselthontes	came	came
13:27	7	αὐτῷ	G846	autō	to him	to him
13:27	8	εἶπον	G2036	eipon	[and] said	[and] said
13:27	9	Κύριε	G2962	Kyrie	Sir	Sir
13:27	10	οὐχὶ	G3780	ouchi	vvv	vvv
13:27	11	ἔσπειρας	G4687	espeiras	didn’t you sow	didn’t you sow
13:27	12	καλὸν	G2570	kalon	good	good
13:27	13	σπέρμα	G4690	sperma	seed	seed
13:27	14	ἐν	G1722	en	in	in
13:27	15	σῷ	G4674	sō	your	your
13:27	16	τῷ	G3588	tō	-	-
13:27	17	ἀγρῷ	G68	agrō	field	field
13:27	18	πόθεν	G4159	pothen	Where	Where
13:27	19	οὖν	G3767	oun	then	then
13:27	20	ἔχει	G2192	echei	did	did
13:27	21	ζιζάνια	G2215	zizania	[the] weeds {come from}	[the] weeds {come from}
13:28	1	Ἐχθρὸς	G2190	Echthros	An enemy	An enemy
13:28	2	ἄνθρωπος	G444	anthrōpos	. . .	. . .
13:28	3	ἐποίησεν	G4160	epoiēsen	did	did
13:28	4	τοῦτο	G3778	touto	this	this
13:28	5	δὲ	G1161	de	-	-
13:28	6	Ὁ	G3588	Ho	-	-
13:28	7	ἔφη	G5346	ephē	he replied	he replied
13:28	8	αὐτοῖς	G846	autois	-	-
13:28	9	δὲ	G1161	de	[So]	[So]
13:28	10	Οἱ	G3588	Hoi	-	-
13:28	11	δοῦλοι	G1401	douloi	[the] servants	[the] servants
13:28	12	λέγουσιν	G3004	legousin	asked	asked
13:28	13	αὐτῷ	G846	autō	him	him
13:28	14	οὖν	G3767	oun	-	-
13:28	15	Θέλεις	G2309	Theleis	Do you want	Do you want
13:28	16	ἀπελθόντες	G565	apelthontes	us to go [and]	us to go [and]
13:28	17	συλλέξωμεν	G4816	syllexōmen	pull them up	pull them up
13:28	18	αὐτά	G846	auta	. . .	. . .
13:29	1	Οὔ	G3756	Ou	No	No
13:29	2	μή‿	G3361	mē	. . .	. . .
13:29	3	δέ	G1161	de	-	-
13:29	4	Ὁ	G3588	Ho	-	-
13:29	5	φησιν	G5346	phēsin	he said	he said
13:29	6	ποτε	G4219	pote	if	if
13:29	7	συλλέγοντες	G4816	syllegontes	you pull	you pull
13:29	8	τὰ	G3588	ta	the	the
13:29	9	ζιζάνια	G2215	zizania	weeds [now]	weeds [now]
13:29	10	ἐκριζώσητε	G1610	ekrizōsēte	you might uproot	you might uproot
13:29	11	τὸν	G3588	ton	the	the
13:29	12	σῖτον	G4621	siton	wheat	wheat
13:29	13	ἅμα	G260	hama	with	with
13:29	14	αὐτοῖς	G846	autois	them	them
13:30	1	ἄφετε	G863	aphete	Let	Let
13:30	2	ἀμφότερα	G297	amphotera	both	both
13:30	3	συναυξάνεσθαι	G4885	synauxanesthai	grow together	grow together
13:30	4	ἕως	G2193	heōs	until	until
13:30	5	τοῦ	G3588	tou	the	the
13:30	6	θερισμοῦ	G2326	therismou	harvest	harvest
13:30	7	καὶ	G2532	kai	-	-
13:30	8	ἐν	G1722	en	At that time	At that time
13:30	9	καιρῷ	G2540	kairō	. . .	. . .
13:30	10	τοῦ	G3588	tou	. . .	. . .
13:30	11	θερισμοῦ	G2326	therismou	. . .	. . .
13:30	12	ἐρῶ	G2046	erō	I will tell	I will tell
13:30	13	τοῖς	G3588	tois	the	the
13:30	14	θερισταῖς	G2327	theristais	harvesters	harvesters
13:30	15	πρῶτον	G4412	prōton	First	First
13:30	16	Συλλέξατε	G4816	Syllexate	collect	collect
13:30	17	τὰ	G3588	ta	the	the
13:30	18	ζιζάνια	G2215	zizania	weeds	weeds
13:30	19	καὶ	G2532	kai	and	and
13:30	20	δήσατε	G1210	dēsate	tie	tie
13:30	21	αὐτὰ	G846	auta	them	them
13:30	22	εἰς	G1519	eis	in	in
13:30	23	δέσμας	G1197	desmas	bundles	bundles
13:30	24	πρὸς	G4314	pros	to	to
13:30	25	τὸ	G3588	to	-	-
13:30	26	κατακαῦσαι	G2618	katakausai	be burned	be burned
13:30	27	αὐτά	G846	auta	-	-
13:30	28	δὲ	G1161	de	then	then
13:30	29	συναγάγετε	G4863	synagagete	gather	gather
13:30	30	τὸν	G3588	ton	-	-
13:30	31	σῖτον	G4621	siton	[the] wheat	[the] wheat
13:30	32	εἰς	G1519	eis	into	into
13:30	33	μου	G1473	mou	my	my
13:30	34	τὴν	G3588	tēn	-	-
13:30	35	ἀποθήκην	G596	apothēkēn	barn	barn
13:31	1	παρέθηκεν	G3908	parethēken	He put before	He put before
13:31	2	αὐτοῖς	G846	autois	them	them
13:31	3	Ἄλλην	G243	Allēn	another	another
13:31	4	παραβολὴν	G3850	parabolēn	parable	parable
13:31	5	λέγων	G3004	legōn	-	-
13:31	6	ἡ	G3588	hē	The	The
13:31	7	βασιλεία	G932	basileia	kingdom	kingdom
13:31	8	τῶν	G3588	tōn	of	of
13:31	9	οὐρανῶν	G3772	ouranōn	heaven	heaven
13:31	10	ἐστὶν	G1510	estin	is	is
13:31	11	Ὁμοία	G3664	Homoia	like	like
13:31	12	σινάπεως	G4615	sinapeōs	a mustard	a mustard
13:31	13	κόκκῳ	G2848	kokkō	seed	seed
13:31	14	ὃν	G3739	hon	that	that
13:31	15	ἄνθρωπος	G444	anthrōpos	a man	a man
13:31	16	λαβὼν	G2983	labōn	took	took
13:31	17	ἔσπειρεν	G4687	espeiren	[and] planted	[and] planted
13:31	18	ἐν	G1722	en	in	in
13:31	19	αὐτοῦ	G846	autou	his	his
13:31	20	τῷ	G3588	tō	-	-
13:31	21	ἀγρῷ	G68	agrō	field	field
13:32	1	μέν	G3303	men	Although	Although
13:32	2	ὃ	G3739	ho	it	it
13:32	3	ἐστιν	G1510	estin	is	is
13:32	4	μικρότερον	G3398	mikroteron	[the] smallest	[the] smallest
13:32	5	πάντων	G3956	pantōn	of all	of all
13:32	6	τῶν	G3588	tōn	-	-
13:32	7	σπερμάτων	G4690	spermatōn	seeds	seeds
13:32	8	δὲ	G1161	de	yet	yet
13:32	9	ὅταν	G3752	hotan	-	-
13:32	10	αὐξηθῇ	G837	auxēthē	it grows into	it grows into
13:32	11	ἐστὶν	G1510	estin	. . .	. . .
13:32	12	μεῖζον	G3173	meizon	the largest	the largest
13:32	13	τῶν	G3588	tōn	of	of
13:32	14	λαχάνων	G3001	lachanōn	garden plants	garden plants
13:32	15	καὶ	G2532	kai	and	and
13:32	16	γίνεται	G1096	ginetai	becomes	becomes
13:32	17	δένδρον	G1186	dendron	a tree	a tree
13:32	18	ὥστε	G5620	hōste	so that	so that
13:32	19	τὰ	G3588	ta	the	the
13:32	20	πετεινὰ	G4071	peteina	birds	birds
13:32	21	τοῦ	G3588	tou	of the	of the
13:32	22	οὐρανοῦ	G3772	ouranou	air	air
13:32	23	ἐλθεῖν	G2064	elthein	come	come
13:32	24	καὶ	G2532	kai	and	and
13:32	25	κατασκηνοῦν	G2681	kataskēnoun	nest	nest
13:32	26	ἐν	G1722	en	in	in
13:32	27	αὐτοῦ	G846	autou	its	its
13:32	28	τοῖς	G3588	tois	-	-
13:32	29	κλάδοις	G2798	kladois	branches	branches
13:33	1	ἐλάλησεν	G2980	elalēsen	He told	He told
13:33	2	αὐτοῖς	G846	autois	them	them
13:33	3	Ἄλλην	G243	Allēn	still another	still another
13:33	4	παραβολὴν	G3850	parabolēn	parable	parable
13:33	5	ἡ	G3588	hē	The	The
13:33	6	βασιλεία	G932	basileia	kingdom	kingdom
13:33	7	τῶν	G3588	tōn	of	of
13:33	8	οὐρανῶν	G3772	ouranōn	heaven	heaven
13:33	9	ἐστὶν	G1510	estin	is	is
13:33	10	Ὁμοία	G3664	Homoia	like	like
13:33	11	ζύμῃ	G2219	zymē	leaven	leaven
13:33	12	ἣν	G3739	hēn	that	that
13:33	13	γυνὴ	G1135	gynē	a woman	a woman
13:33	14	λαβοῦσα	G2983	labousa	took [and]	took [and]
13:33	15	ἐνέκρυψεν	G1470	enekrypsen	mixed	mixed
13:33	16	εἰς	G1519	eis	into	into
13:33	17	τρία	G5140	tria	three	three
13:33	18	σάτα	G4568	sata	measures	measures
13:33	19	ἀλεύρου	G224	aleurou	of flour	of flour
13:33	20	ἕως	G2193	heōs	until	until
13:33	21	ὅλον	G3650	holon	all	all
13:33	22	οὗ	G3739	hou	of it	of it
13:33	23	ἐζυμώθη	G2220	ezymōthē	was leavened	was leavened
13:34	1	ὁ	G3588	ho	-	-
13:34	2	Ἰησοῦς	G2424	Iēsous	Jesus	Jesus
13:34	3	ἐλάλησεν	G2980	elalēsen	spoke	spoke
13:34	4	πάντα	G3956	panta	all	all
13:34	5	Ταῦτα	G3778	Tauta	these things	these things
13:34	6	τοῖς	G3588	tois	to the	to the
13:34	7	ὄχλοις	G3793	ochlois	crowds	crowds
13:34	8	ἐν	G1722	en	in	in
13:34	9	παραβολαῖς	G3850	parabolais	parables	parables
13:34	10	καὶ	G2532	kai	-	-
13:34	11	ἐλάλει	G2980	elalei	He did not tell them anything	He did not tell them anything
13:34	12	οὐδὲν	G3762	ouden	. . .	. . .
13:34	13	αὐτοῖς	G846	autois	. . .	. . .
13:34	14	χωρὶς	G5565	chōris	without using	without using
13:34	15	παραβολῆς	G3850	parabolēs	a parable	a parable
13:35	1	ὅπως	G3704	hopōs	So	So
13:35	2	πληρωθῇ	G4137	plērōthē	was fulfilled	was fulfilled
13:35	3	τὸ	G3588	to	what	what
13:35	4	ῥηθὲν	G2046	rhēthen	was spoken	was spoken
13:35	5	διὰ	G1223	dia	through	through
13:35	6	τοῦ	G3588	tou	the	the
13:35	7	προφήτου	G4396	prophētou	prophet	prophet
13:35	8	λέγοντος	G3004	legontos	-	-
13:35	9	Ἀνοίξω	G455	Anoixō	I will open	I will open
13:35	10	μου	G1473	mou	My	My
13:35	11	τὸ	G3588	to	-	-
13:35	12	στόμα	G4750	stoma	mouth	mouth
13:35	13	ἐν	G1722	en	in	in
13:35	14	παραβολαῖς	G3850	parabolais	parables	parables
13:35	15	ἐρεύξομαι	G2044	ereuxomai	I will utter	I will utter
13:35	16	κεκρυμμένα	G2928	kekrymmena	things hidden	things hidden
13:35	17	ἀπὸ	G575	apo	since	since
13:35	18	καταβολῆς	G2602	katabolēs	[the] foundation	[the] foundation
13:35	19	κόσμου	G2889	kosmou	[of the] world	[of the] world
13:36	1	Τότε	G5119	Tote	Then	Then
13:36	2	ἀφεὶς	G863	apheis	[Jesus] dismissed	[Jesus] dismissed
13:36	3	τοὺς	G3588	tous	the	the
13:36	4	ὄχλους	G3793	ochlous	crowds	crowds
13:36	5	ἦλθεν	G2064	ēlthen	[and] went	[and] went
13:36	6	εἰς	G1519	eis	into	into
13:36	7	τὴν	G3588	tēn	the	the
13:36	8	οἰκίαν	G3614	oikian	house	house
13:36	9	Καὶ	G2532	Kai	-	-
13:36	10	αὐτοῦ	G846	autou	His	His
13:36	11	οἱ	G3588	hoi	-	-
13:36	12	μαθηταὶ	G3101	mathētai	disciples	disciples
13:36	13	προσῆλθον	G4334	prosēlthon	came	came
13:36	14	αὐτῷ	G846	autō	to Him	to Him
13:36	15	λέγοντες	G3004	legontes	[and] said	[and] said
13:36	16	Διασάφησον	G1285	Diasaphēson	Explain	Explain
13:36	17	ἡμῖν	G1473	hēmin	to us	to us
13:36	18	τὴν	G3588	tēn	the	the
13:36	19	παραβολὴν	G3850	parabolēn	parable	parable
13:36	20	τῶν	G3588	tōn	of the	of the
13:36	21	ζιζανίων	G2215	zizaniōn	weeds	weeds
13:36	22	τοῦ	G3588	tou	in the	in the
13:36	23	ἀγροῦ	G68	agrou	field	field
13:37	1	δὲ	G1161	de	-	-
13:37	2	Ὁ	G3588	Ho	-	-
13:37	3	ἀποκριθεὶς	G611	apokritheis	He replied	He replied
13:37	4	εἶπεν	G2036	eipen	-	-
13:37	5	Ὁ	G3588	Ho	The [One]	The [One]
13:37	6	σπείρων	G4687	speirōn	who sows	who sows
13:37	7	τὸ	G3588	to	the	the
13:37	8	καλὸν	G2570	kalon	good	good
13:37	9	σπέρμα	G4690	sperma	seed	seed
13:37	10	ἐστὶν	G1510	estin	is	is
13:37	11	ὁ	G3588	ho	the	the
13:37	12	Υἱὸς	G5207	Huios	Son	Son
13:37	13	τοῦ	G3588	tou	-	-
